#,"Register Name","Register Address","Field Name","Field Bit Position","Default Value",Property,"No Test","Read Data",Result
FIELD,,,reg257_f1,[31:24],0,WO,,,
FIELD,,,reg257_f2,[23:0],0,WO,,,
#,,,,,,,,,
REGISTER,reg258,0x00000810,,,,,,,
FIELD,,,reg258_f1,[31:22],0,,,,
FIELD,,,reg258_f2,[21:12],0,,,,
FIELD,,,reg258_f3,[11:0],0,,,,
#,,,,,,,,,
REGISTER,reg259,0x00000818,,,,,,,
FIELD,,,reg259_f1,31,1,,,,
FIELD,,,reg259_f2,30,1,,,,
FIELD,,,reg259_f3,[29:0],32,,,,
#,,,,,,,,,
REGISTER,reg260,0x00000820,,,,,,,
FIELD,,,reg260_f1,[31:30],2'b0,RO,,,
FIELD,,,reg260_f2,29,1,RO,,,
FIELD,,,reg260_f3,28,1,RO,,,
FIELD,,,reg260_f4,[27:0],28'b0,,,,
#,,,,,,,,,
REGISTER,reg261,0x00000828,,,,,,,
FIELD,,,reg261_f1,[31:28],4'b0,,,,
FIELD,,,reg261_f2,27,1'b0,,,,
FIELD,,,reg261_f3,[26:0],1'b1,,,,
#,,,,,,,,,
REGISTER,reg262,0x00000830,,,,,,,
FIELD,,,reg262_f1,[31:30],1'b1,RO,,,
FIELD,,,reg262_f2,[29:15],0,,,,
FIELD,,,reg262_f3,[14:0],0,,,,
#,,,,,,,,,
REGISTER,reg263,0x00000838,,,,,,,
FIELD,,,reg263_f1,[31:16],1'b1,,,,
FIELD,,,reg263_f2,[15:0],66,,,,
#,,,,,,,,,
REGISTER,reg264,0x00000840,,,,,,,
FIELD,,,reg264_f1,[31:0],0,,,,
#,,,,,,,,,
REGISTER,reg265,0x00000848,,,,,,,
FIELD,,,reg265_f1,31,0,,,,
FIELD,,,reg265_f2,[28:26],2,,,,
FIELD,,,reg265_f3,[25:19],83,,,,
FIELD,,,reg265_f4,[18:6],3072,,,,
FIELD,,,reg265_f5,[5:0],36,,,,
#,,,,,,,,,
REGISTER,reg266,0x00000850,,,,,,,
FIELD,,,reg266_f1,31,0,,,,
FIELD,,,reg266_f2,30,1,,,,
FIELD,,,reg266_f3,[29:0],1'b1,,,,
#,,,,,,,,,
REGISTER,reg267,0x00000858,,,,,,,
FIELD,,,reg267_f1,[31:24],0,WO,,,
FIELD,,,reg267_f2,[23:0],0,WO,,,
#,,,,,,,,,
REGISTER,reg268,0x00000860,,,,,,,
FIELD,,,reg268_f1,[31:22],0,,,,
FIELD,,,reg268_f2,[21:12],0,,,,
FIELD,,,reg268_f3,[11:0],0,,,,
#,,,,,,,,,
REGISTER,reg269,0x00000868,,,,,,,
FIELD,,,reg269_f1,31,1,,,,
FIELD,,,reg269_f2,30,1,,,,
FIELD,,,reg269_f3,[29:0],32,,,,
#,,,,,,,,,
REGISTER,reg270,0x00000870,,,,,,,
FIELD,,,reg270_f1,[31:30],2'b0,RO,,,
FIELD,,,reg270_f2,29,1,RO,,,
FIELD,,,reg270_f3,28,1,RO,,,
FIELD,,,reg270_f4,[27:0],28'b0,,,,
#,,,,,,,,,
REGISTER,reg271,0x00000878,,,,,,,
FIELD,,,reg271_f1,[31:28],4'b0,,,,
FIELD,,,reg271_f2,27,1'b0,,,,
FIELD,,,reg271_f3,[26:0],1'b1,,,,
#,,,,,,,,,
REGISTER,reg272,0x00000880,,,,,,,
FIELD,,,reg272_f1,[31:30],1'b1,RO,,,
FIELD,,,reg272_f2,[29:15],0,,,,
FIELD,,,reg272_f3,[14:0],0,,,,
#,,,,,,,,,
REGISTER,reg273,0x00000888,,,,,,,
FIELD,,,reg273_f1,[31:16],1'b1,,,,
FIELD,,,reg273_f2,[15:0],66,,,,
#,,,,,,,,,
REGISTER,reg274,0x00000890,,,,,,,
FIELD,,,reg274_f1,[31:0],0,,,,
#,,,,,,,,,
REGISTER,reg275,0x00000898,,,,,,,
FIELD,,,reg275_f1,31,0,,,,
FIELD,,,reg275_f2,[28:26],2,,,,
FIELD,,,reg275_f3,[25:19],83,,,,
FIELD,,,reg275_f4,[18:6],3072,,,,
FIELD,,,reg275_f5,[5:0],36,,,,
#,,,,,,,,,
REGISTER,reg276,0x000008a0,,,,,,,
FIELD,,,reg276_f1,31,0,,,,
FIELD,,,reg276_f2,30,1,,,,
FIELD,,,reg276_f3,[29:0],1'b1,,,,
#,,,,,,,,,
REGISTER,reg277,0x000008a8,,,,,,,
FIELD,,,reg277_f1,[31:24],0,WO,,,
FIELD,,,reg277_f2,[23:0],0,WO,,,
#,,,,,,,,,
REGISTER,reg278,0x000008b0,,,,,,,
FIELD,,,reg278_f1,[31:22],0,,,,
FIELD,,,reg278_f2,[21:12],0,,,,
FIELD,,,reg278_f3,[11:0],0,,,,
#,,,,,,,,,
REGISTER,reg279,0x000008b8,,,,,,,
FIELD,,,reg279_f1,31,1,,,,
FIELD,,,reg279_f2,30,1,,,,
FIELD,,,reg279_f3,[29:0],32,,,,
#,,,,,,,,,
REGISTER,reg280,0x000008c0,,,,,,,
FIELD,,,reg280_f1,[31:30],2'b0,RO,,,
FIELD,,,reg280_f2,29,1,RO,,,
FIELD,,,reg280_f3,28,1,RO,,,
FIELD,,,reg280_f4,[27:0],28'b0,,,,
#,,,,,,,,,
REGISTER,reg281,0x000008c8,,,,,,,
FIELD,,,reg281_f1,[31:28],4'b0,,,,
FIELD,,,reg281_f2,27,1'b0,,,,
FIELD,,,reg281_f3,[26:0],1'b1,,,,
#,,,,,,,,,
REGISTER,reg282,0x000008d0,,,,,,,
FIELD,,,reg282_f1,[31:30],1'b1,RO,,,
FIELD,,,reg282_f2,[29:15],0,,,,
FIELD,,,reg282_f3,[14:0],0,,,,
#,,,,,,,,,
REGISTER,reg283,0x000008d8,,,,,,,
FIELD,,,reg283_f1,[31:16],1'b1,,,,
FIELD,,,reg283_f2,[15:0],66,,,,
#,,,,,,,,,
REGISTER,reg284,0x000008e0,,,,,,,
FIELD,,,reg284_f1,[31:0],0,,,,
#,,,,,,,,,
REGISTER,reg285,0x000008e8,,,,,,,
FIELD,,,reg285_f1,31,0,,,,
FIELD,,,reg285_f2,[28:26],2,,,,
FIELD,,,reg285_f3,[25:19],83,,,,
FIELD,,,reg285_f4,[18:6],3072,,,,
FIELD,,,reg285_f5,[5:0],36,,,,
#,,,,,,,,,
REGISTER,reg286,0x000008f0,,,,,,,
FIELD,,,reg286_f1,31,0,,,,
FIELD,,,reg286_f2,30,1,,,,
FIELD,,,reg286_f3,[29:0],1'b1,,,,
#,,,,,,,,,
REGISTER,reg287,0x000008f8,,,,,,,
FIELD,,,reg287_f1,[31:24],0,WO,,,
FIELD,,,reg287_f2,[23:0],0,WO,,,
#,,,,,,,,,
REGISTER,reg288,0x00000900,,,,,,,
FIELD,,,reg288_f1,[31:22],0,,,,
FIELD,,,reg288_f2,[21:12],0,,,,
FIELD,,,reg288_f3,[11:0],0,,,,
#,,,,,,,,,
REGISTER,reg289,0x00000908,,,,,,,
FIELD,,,reg289_f1,31,1,,,,
FIELD,,,reg289_f2,30,1,,,,
FIELD,,,reg289_f3,[29:0],32,,,,
#,,,,,,,,,
REGISTER,reg290,0x00000910,,,,,,,
FIELD,,,reg290_f1,[31:30],2'b0,RO,,,
FIELD,,,reg290_f2,29,1,RO,,,
FIELD,,,reg290_f3,28,1,RO,,,
FIELD,,,reg290_f4,[27:0],28'b0,,,,
#,,,,,,,,,
REGISTER,reg291,0x00000918,,,,,,,
FIELD,,,reg291_f1,[31:28],4'b0,,,,
FIELD,,,reg291_f2,27,1'b0,,,,
FIELD,,,reg291_f3,[26:0],1'b1,,,,
#,,,,,,,,,
REGISTER,reg292,0x00000920,,,,,,,
FIELD,,,reg292_f1,[31:30],1'b1,RO,,,
FIELD,,,reg292_f2,[29:15],0,,,,
FIELD,,,reg292_f3,[14:0],0,,,,
#,,,,,,,,,
REGISTER,reg293,0x00000928,,,,,,,
FIELD,,,reg293_f1,[31:16],1'b1,,,,
FIELD,,,reg293_f2,[15:0],66,,,,
#,,,,,,,,,
REGISTER,reg294,0x00000930,,,,,,,
FIELD,,,reg294_f1,[31:0],0,,,,
#,,,,,,,,,
REGISTER,reg295,0x00000938,,,,,,,
FIELD,,,reg295_f1,31,0,,,,
FIELD,,,reg295_f2,[28:26],2,,,,
FIELD,,,reg295_f3,[25:19],83,,,,
FIELD,,,reg295_f4,[18:6],3072,,,,
FIELD,,,reg295_f5,[5:0],36,,,,
#,,,,,,,,,
REGISTER,reg296,0x00000940,,,,,,,
FIELD,,,reg296_f1,31,0,,,,
FIELD,,,reg296_f2,30,1,,,,
FIELD,,,reg296_f3,[29:0],1'b1,,,,
#,,,,,,,,,
REGISTER,reg297,0x00000948,,,,,,,
FIELD,,,reg297_f1,[31:24],0,WO,,,
FIELD,,,reg297_f2,[23:0],0,WO,,,
#,,,,,,,,,
REGISTER,reg298,0x00000950,,,,,,,
FIELD,,,reg298_f1,[31:22],0,,,,
FIELD,,,reg298_f2,[21:12],0,,,,
FIELD,,,reg298_f3,[11:0],0,,,,
#,,,,,,,,,
REGISTER,reg299,0x00000958,,,,,,,
FIELD,,,reg299_f1,31,1,,,,
FIELD,,,reg299_f2,30,1,,,,
FIELD,,,reg299_f3,[29:0],32,,,,
#,,,,,,,,,
REGISTER,reg300,0x00000960,,,,,,,
FIELD,,,reg300_f1,[31:30],2'b0,RO,,,
FIELD,,,reg300_f2,29,1,RO,,,
FIELD,,,reg300_f3,28,1,RO,,,
FIELD,,,reg300_f4,[27:0],28'b0,,,,
#,,,,,,,,,
REGISTER,reg301,0x00000968,,,,,,,
FIELD,,,reg301_f1,[31:28],4'b0,,,,
FIELD,,,reg301_f2,27,1'b0,,,,
FIELD,,,reg301_f3,[26:0],1'b1,,,,
#,,,,,,,,,
REGISTER,reg302,0x00000970,,,,,,,
FIELD,,,reg302_f1,[31:30],1'b1,RO,,,
FIELD,,,reg302_f2,[29:15],0,,,,
FIELD,,,reg302_f3,[14:0],0,,,,
#,,,,,,,,,
REGISTER,reg303,0x00000978,,,,,,,
FIELD,,,reg303_f1,[31:16],1'b1,,,,
FIELD,,,reg303_f2,[15:0],66,,,,
#,,,,,,,,,
REGISTER,reg304,0x00000980,,,,,,,
FIELD,,,reg304_f1,[31:0],0,,,,
#,,,,,,,,,
REGISTER,reg305,0x00000988,,,,,,,
FIELD,,,reg305_f1,31,0,,,,
FIELD,,,reg305_f2,[28:26],2,,,,
FIELD,,,reg305_f3,[25:19],83,,,,
FIELD,,,reg305_f4,[18:6],3072,,,,
FIELD,,,reg305_f5,[5:0],36,,,,
#,,,,,,,,,
REGISTER,reg306,0x00000990,,,,,,,
FIELD,,,reg306_f1,31,0,,,,
FIELD,,,reg306_f2,30,1,,,,
FIELD,,,reg306_f3,[29:0],1'b1,,,,
#,,,,,,,,,
REGISTER,reg307,0x00000998,,,,,,,
FIELD,,,reg307_f1,[31:24],0,WO,,,
FIELD,,,reg307_f2,[23:0],0,WO,,,
#,,,,,,,,,
REGISTER,reg308,0x000009a0,,,,,,,
FIELD,,,reg308_f1,[31:22],0,,,,
FIELD,,,reg308_f2,[21:12],0,,,,
FIELD,,,reg308_f3,[11:0],0,,,,
#,,,,,,,,,
REGISTER,reg309,0x000009a8,,,,,,,
FIELD,,,reg309_f1,31,1,,,,
FIELD,,,reg309_f2,30,1,,,,
FIELD,,,reg309_f3,[29:0],32,,,,
#,,,,,,,,,
REGISTER,reg310,0x000009b0,,,,,,,
FIELD,,,reg310_f1,[31:30],2'b0,RO,,,
FIELD,,,reg310_f2,29,1,RO,,,
FIELD,,,reg310_f3,28,1,RO,,,
FIELD,,,reg310_f4,[27:0],28'b0,,,,
#,,,,,,,,,
REGISTER,reg311,0x000009b8,,,,,,,
FIELD,,,reg311_f1,[31:28],4'b0,,,,
FIELD,,,reg311_f2,27,1'b0,,,,
FIELD,,,reg311_f3,[26:0],1'b1,,,,
#,,,,,,,,,
REGISTER,reg312,0x000009c0,,,,,,,
FIELD,,,reg312_f1,[31:30],1'b1,RO,,,
FIELD,,,reg312_f2,[29:15],0,,,,
FIELD,,,reg312_f3,[14:0],0,,,,
#,,,,,,,,,
REGISTER,reg313,0x000009c8,,,,,,,
FIELD,,,reg313_f1,[31:16],1'b1,,,,
FIELD,,,reg313_f2,[15:0],66,,,,
#,,,,,,,,,
REGISTER,reg314,0x000009d0,,,,,,,
FIELD,,,reg314_f1,[31:0],0,,,,
#,,,,,,,,,
REGISTER,reg315,0x000009d8,,,,,,,
FIELD,,,reg315_f1,31,0,,,,
FIELD,,,reg315_f2,[28:26],2,,,,
FIELD,,,reg315_f3,[25:19],83,,,,
FIELD,,,reg315_f4,[18:6],3072,,,,
FIELD,,,reg315_f5,[5:0],36,,,,
#,,,,,,,,,
REGISTER,reg316,0x000009e0,,,,,,,
FIELD,,,reg316_f1,31,0,,,,
FIELD,,,reg316_f2,30,1,,,,
FIELD,,,reg316_f3,[29:0],1'b1,,,,
#,,,,,,,,,
REGISTER,reg317,0x000009e8,,,,,,,
FIELD,,,reg317_f1,[31:24],0,WO,,,
FIELD,,,reg317_f2,[23:0],0,WO,,,
#,,,,,,,,,
REGISTER,reg318,0x000009f0,,,,,,,
FIELD,,,reg318_f1,[31:22],0,,,,
FIELD,,,reg318_f2,[21:12],0,,,,
FIELD,,,reg318_f3,[11:0],0,,,,
#,,,,,,,,,
REGISTER,reg319,0x000009f8,,,,,,,
FIELD,,,reg319_f1,31,1,,,,
FIELD,,,reg319_f2,30,1,,,,
FIELD,,,reg319_f3,[29:0],32,,,,
#,,,,,,,,,
REGISTER,reg320,0x00000a00,,,,,,,
FIELD,,,reg320_f1,[31:30],2'b0,RO,,,
FIELD,,,reg320_f2,29,1,RO,,,
FIELD,,,reg320_f3,28,1,RO,,,
FIELD,,,reg320_f4,[27:0],28'b0,,,,
#,,,,,,,,,
REGISTER,reg321,0x00000a08,,,,,,,
FIELD,,,reg321_f1,[31:28],4'b0,,,,
FIELD,,,reg321_f2,27,1'b0,,,,
FIELD,,,reg321_f3,[26:0],1'b1,,,,
#,,,,,,,,,
REGISTER,reg322,0x00000a10,,,,,,,
FIELD,,,reg322_f1,[31:30],1'b1,RO,,,
FIELD,,,reg322_f2,[29:15],0,,,,
FIELD,,,reg322_f3,[14:0],0,,,,
#,,,,,,,,,
REGISTER,reg323,0x00000a18,,,,,,,
FIELD,,,reg323_f1,[31:16],1'b1,,,,
FIELD,,,reg323_f2,[15:0],66,,,,
#,,,,,,,,,
REGISTER,reg324,0x00000a20,,,,,,,
FIELD,,,reg324_f1,[31:0],0,,,,
#,,,,,,,,,
REGISTER,reg325,0x00000a28,,,,,,,
FIELD,,,reg325_f1,31,0,,,,
FIELD,,,reg325_f2,[28:26],2,,,,
FIELD,,,reg325_f3,[25:19],83,,,,
FIELD,,,reg325_f4,[18:6],3072,,,,
FIELD,,,reg325_f5,[5:0],36,,,,
#,,,,,,,,,
REGISTER,reg326,0x00000a30,,,,,,,
FIELD,,,reg326_f1,31,0,,,,
FIELD,,,reg326_f2,30,1,,,,
FIELD,,,reg326_f3,[29:0],1'b1,,,,
#,,,,,,,,,
REGISTER,reg327,0x00000a38,,,,,,,
FIELD,,,reg327_f1,[31:24],0,WO,,,
FIELD,,,reg327_f2,[23:0],0,WO,,,
#,,,,,,,,,
REGISTER,reg328,0x00000a40,,,,,,,
FIELD,,,reg328_f1,[31:22],0,,,,
FIELD,,,reg328_f2,[21:12],0,,,,
FIELD,,,reg328_f3,[11:0],0,,,,
#,,,,,,,,,
REGISTER,reg329,0x00000a48,,,,,,,
FIELD,,,reg329_f1,31,1,,,,
FIELD,,,reg329_f2,30,1,,,,
FIELD,,,reg329_f3,[29:0],32,,,,
#,,,,,,,,,
REGISTER,reg330,0x00000a50,,,,,,,
FIELD,,,reg330_f1,[31:30],2'b0,RO,,,
FIELD,,,reg330_f2,29,1,RO,,,
FIELD,,,reg330_f3,28,1,RO,,,
FIELD,,,reg330_f4,[27:0],28'b0,,,,
#,,,,,,,,,
REGISTER,reg331,0x00000a58,,,,,,,
FIELD,,,reg331_f1,[31:28],4'b0,,,,
FIELD,,,reg331_f2,27,1'b0,,,,
FIELD,,,reg331_f3,[26:0],1'b1,,,,
#,,,,,,,,,
REGISTER,reg332,0x00000a60,,,,,,,
FIELD,,,reg332_f1,[31:30],1'b1,RO,,,
FIELD,,,reg332_f2,[29:15],0,,,,
FIELD,,,reg332_f3,[14:0],0,,,,
#,,,,,,,,,
REGISTER,reg333,0x00000a68,,,,,,,
FIELD,,,reg333_f1,[31:16],1'b1,,,,
FIELD,,,reg333_f2,[15:0],66,,,,
#,,,,,,,,,
REGISTER,reg334,0x00000a70,,,,,,,
FIELD,,,reg334_f1,[31:0],0,,,,
#,,,,,,,,,
REGISTER,reg335,0x00000a78,,,,,,,
FIELD,,,reg335_f1,31,0,,,,
FIELD,,,reg335_f2,[28:26],2,,,,
FIELD,,,reg335_f3,[25:19],83,,,,
FIELD,,,reg335_f4,[18:6],3072,,,,
FIELD,,,reg335_f5,[5:0],36,,,,
#,,,,,,,,,
REGISTER,reg336,0x00000a80,,,,,,,
FIELD,,,reg336_f1,31,0,,,,
FIELD,,,reg336_f2,30,1,,,,
FIELD,,,reg336_f3,[29:0],1'b1,,,,
#,,,,,,,,,
REGISTER,reg337,0x00000a88,,,,,,,
FIELD,,,reg337_f1,[31:24],0,WO,,,
FIELD,,,reg337_f2,[23:0],0,WO,,,
#,,,,,,,,,
REGISTER,reg338,0x00000a90,,,,,,,
FIELD,,,reg338_f1,[31:22],0,,,,
FIELD,,,reg338_f2,[21:12],0,,,,
FIELD,,,reg338_f3,[11:0],0,,,,
#,,,,,,,,,
REGISTER,reg339,0x00000a98,,,,,,,
FIELD,,,reg339_f1,31,1,,,,
FIELD,,,reg339_f2,30,1,,,,
FIELD,,,reg339_f3,[29:0],32,,,,
#,,,,,,,,,
REGISTER,reg340,0x00000aa0,,,,,,,
FIELD,,,reg340_f1,[31:30],2'b0,RO,,,
FIELD,,,reg340_f2,29,1,RO,,,
FIELD,,,reg340_f3,28,1,RO,,,
FIELD,,,reg340_f4,[27:0],28'b0,,,,
#,,,,,,,,,
REGISTER,reg341,0x00000aa8,,,,,,,
FIELD,,,reg341_f1,[31:28],4'b0,,,,
FIELD,,,reg341_f2,27,1'b0,,,,
FIELD,,,reg341_f3,[26:0],1'b1,,,,
#,,,,,,,,,
REGISTER,reg342,0x00000ab0,,,,,,,
FIELD,,,reg342_f1,[31:30],1'b1,RO,,,
FIELD,,,reg342_f2,[29:15],0,,,,
FIELD,,,reg342_f3,[14:0],0,,,,
#,,,,,,,,,
REGISTER,reg343,0x00000ab8,,,,,,,
FIELD,,,reg343_f1,[31:16],1'b1,,,,
FIELD,,,reg343_f2,[15:0],66,,,,
#,,,,,,,,,
REGISTER,reg344,0x00000ac0,,,,,,,
FIELD,,,reg344_f1,[31:0],0,,,,
#,,,,,,,,,
REGISTER,reg345,0x00000ac8,,,,,,,
FIELD,,,reg345_f1,31,0,,,,
FIELD,,,reg345_f2,[28:26],2,,,,
FIELD,,,reg345_f3,[25:19],83,,,,
FIELD,,,reg345_f4,[18:6],3072,,,,
FIELD,,,reg345_f5,[5:0],36,,,,
#,,,,,,,,,
REGISTER,reg346,0x00000ad0,,,,,,,
FIELD,,,reg346_f1,31,0,,,,
FIELD,,,reg346_f2,30,1,,,,
FIELD,,,reg346_f3,[29:0],1'b1,,,,
#,,,,,,,,,
REGISTER,reg347,0x00000ad8,,,,,,,
FIELD,,,reg347_f1,[31:24],0,WO,,,
FIELD,,,reg347_f2,[23:0],0,WO,,,
#,,,,,,,,,
REGISTER,reg348,0x00000ae0,,,,,,,
FIELD,,,reg348_f1,[31:22],0,,,,
FIELD,,,reg348_f2,[21:12],0,,,,
FIELD,,,reg348_f3,[11:0],0,,,,
#,,,,,,,,,
REGISTER,reg349,0x00000ae8,,,,,,,
FIELD,,,reg349_f1,31,1,,,,
FIELD,,,reg349_f2,30,1,,,,
FIELD,,,reg349_f3,[29:0],32,,,,
#,,,,,,,,,
REGISTER,reg350,0x00000af0,,,,,,,
FIELD,,,reg350_f1,[31:30],2'b0,RO,,,
FIELD,,,reg350_f2,29,1,RO,,,
FIELD,,,reg350_f3,28,1,RO,,,
FIELD,,,reg350_f4,[27:0],28'b0,,,,
#,,,,,,,,,
REGISTER,reg351,0x00000af8,,,,,,,
FIELD,,,reg351_f1,[31:28],4'b0,,,,
FIELD,,,reg351_f2,27,1'b0,,,,
FIELD,,,reg351_f3,[26:0],1'b1,,,,
#,,,,,,,,,
REGISTER,reg352,0x00000b00,,,,,,,
FIELD,,,reg352_f1,[31:30],1'b1,RO,,,
FIELD,,,reg352_f2,[29:15],0,,,,
FIELD,,,reg352_f3,[14:0],0,,,,
#,,,,,,,,,
REGISTER,reg353,0x00000b08,,,,,,,
FIELD,,,reg353_f1,[31:16],1'b1,,,,
FIELD,,,reg353_f2,[15:0],66,,,,
#,,,,,,,,,
REGISTER,reg354,0x00000b10,,,,,,,
FIELD,,,reg354_f1,[31:0],0,,,,
#,,,,,,,,,
REGISTER,reg355,0x00000b18,,,,,,,
FIELD,,,reg355_f1,31,0,,,,
FIELD,,,reg355_f2,[28:26],2,,,,
FIELD,,,reg355_f3,[25:19],83,,,,
FIELD,,,reg355_f4,[18:6],3072,,,,
FIELD,,,reg355_f5,[5:0],36,,,,
#,,,,,,,,,
REGISTER,reg356,0x00000b20,,,,,,,
FIELD,,,reg356_f1,31,0,,,,
FIELD,,,reg356_f2,30,1,,,,
FIELD,,,reg356_f3,[29:0],1'b1,,,,
#,,,,,,,,,
REGISTER,reg357,0x00000b28,,,,,,,
FIELD,,,reg357_f1,[31:24],0,WO,,,
FIELD,,,reg357_f2,[23:0],0,WO,,,
#,,,,,,,,,
REGISTER,reg358,0x00000b30,,,,,,,
FIELD,,,reg358_f1,[31:22],0,,,,
FIELD,,,reg358_f2,[21:12],0,,,,
FIELD,,,reg358_f3,[11:0],0,,,,
#,,,,,,,,,
REGISTER,reg359,0x00000b38,,,,,,,
FIELD,,,reg359_f1,31,1,,,,
FIELD,,,reg359_f2,30,1,,,,
FIELD,,,reg359_f3,[29:0],32,,,,
#,,,,,,,,,
REGISTER,reg360,0x00000b40,,,,,,,
FIELD,,,reg360_f1,[31:30],2'b0,RO,,,
FIELD,,,reg360_f2,29,1,RO,,,
FIELD,,,reg360_f3,28,1,RO,,,
FIELD,,,reg360_f4,[27:0],28'b0,,,,
#,,,,,,,,,
REGISTER,reg361,0x00000b48,,,,,,,
FIELD,,,reg361_f1,[31:28],4'b0,,,,
FIELD,,,reg361_f2,27,1'b0,,,,
FIELD,,,reg361_f3,[26:0],1'b1,,,,
#,,,,,,,,,
REGISTER,reg362,0x00000b50,,,,,,,
FIELD,,,reg362_f1,[31:30],1'b1,RO,,,
FIELD,,,reg362_f2,[29:15],0,,,,
FIELD,,,reg362_f3,[14:0],0,,,,
#,,,,,,,,,
REGISTER,reg363,0x00000b58,,,,,,,
FIELD,,,reg363_f1,[31:16],1'b1,,,,
FIELD,,,reg363_f2,[15:0],66,,,,
#,,,,,,,,,
REGISTER,reg364,0x00000b60,,,,,,,
FIELD,,,reg364_f1,[31:0],0,,,,
#,,,,,,,,,
REGISTER,reg365,0x00000b68,,,,,,,
FIELD,,,reg365_f1,31,0,,,,
FIELD,,,reg365_f2,[28:26],2,,,,
FIELD,,,reg365_f3,[25:19],83,,,,
FIELD,,,reg365_f4,[18:6],3072,,,,
FIELD,,,reg365_f5,[5:0],36,,,,
#,,,,,,,,,
REGISTER,reg366,0x00000b70,,,,,,,
FIELD,,,reg366_f1,31,0,,,,
FIELD,,,reg366_f2,30,1,,,,
FIELD,,,reg366_f3,[29:0],1'b1,,,,
#,,,,,,,,,
REGISTER,reg367,0x00000b78,,,,,,,
FIELD,,,reg367_f1,[31:24],0,WO,,,
FIELD,,,reg367_f2,[23:0],0,WO,,,
#,,,,,,,,,
REGISTER,reg368,0x00000b80,,,,,,,
FIELD,,,reg368_f1,[31:22],0,,,,
FIELD,,,reg368_f2,[21:12],0,,,,
FIELD,,,reg368_f3,[11:0],0,,,,
#,,,,,,,,,
REGISTER,reg369,0x00000b88,,,,,,,
FIELD,,,reg369_f1,31,1,,,,
FIELD,,,reg369_f2,30,1,,,,
FIELD,,,reg369_f3,[29:0],32,,,,
#,,,,,,,,,
REGISTER,reg370,0x00000b90,,,,,,,
FIELD,,,reg370_f1,[31:30],2'b0,RO,,,
FIELD,,,reg370_f2,29,1,RO,,,
FIELD,,,reg370_f3,28,1,RO,,,
FIELD,,,reg370_f4,[27:0],28'b0,,,,
#,,,,,,,,,
REGISTER,reg371,0x00000b98,,,,,,,
FIELD,,,reg371_f1,[31:28],4'b0,,,,
FIELD,,,reg371_f2,27,1'b0,,,,
FIELD,,,reg371_f3,[26:0],1'b1,,,,
#,,,,,,,,,
REGISTER,reg372,0x00000ba0,,,,,,,
FIELD,,,reg372_f1,[31:30],1'b1,RO,,,
FIELD,,,reg372_f2,[29:15],0,,,,
FIELD,,,reg372_f3,[14:0],0,,,,
#,,,,,,,,,
REGISTER,reg373,0x00000ba8,,,,,,,
FIELD,,,reg373_f1,[31:16],1'b1,,,,
FIELD,,,reg373_f2,[15:0],66,,,,
#,,,,,,,,,
REGISTER,reg374,0x00000bb0,,,,,,,
FIELD,,,reg374_f1,[31:0],0,,,,
#,,,,,,,,,
REGISTER,reg375,0x00000bb8,,,,,,,
FIELD,,,reg375_f1,31,0,,,,
FIELD,,,reg375_f2,[28:26],2,,,,
FIELD,,,reg375_f3,[25:19],83,,,,
FIELD,,,reg375_f4,[18:6],3072,,,,
FIELD,,,reg375_f5,[5:0],36,,,,
#,,,,,,,,,
REGISTER,reg376,0x00000bc0,,,,,,,
FIELD,,,reg376_f1,31,0,,,,
FIELD,,,reg376_f2,30,1,,,,
FIELD,,,reg376_f3,[29:0],1'b1,,,,
#,,,,,,,,,
REGISTER,reg377,0x00000bc8,,,,,,,
FIELD,,,reg377_f1,[31:24],0,WO,,,
FIELD,,,reg377_f2,[23:0],0,WO,,,
#,,,,,,,,,
REGISTER,reg378,0x00000bd0,,,,,,,
FIELD,,,reg378_f1,[31:22],0,,,,
FIELD,,,reg378_f2,[21:12],0,,,,
FIELD,,,reg378_f3,[11:0],0,,,,
#,,,,,,,,,
REGISTER,reg379,0x00000bd8,,,,,,,
FIELD,,,reg379_f1,31,1,,,,
FIELD,,,reg379_f2,30,1,,,,
FIELD,,,reg379_f3,[29:0],32,,,,
#,,,,,,,,,
REGISTER,reg380,0x00000be0,,,,,,,
FIELD,,,reg380_f1,[31:30],2'b0,RO,,,
FIELD,,,reg380_f2,29,1,RO,,,
FIELD,,,reg380_f3,28,1,RO,,,
FIELD,,,reg380_f4,[27:0],28'b0,,,,
#,,,,,,,,,
REGISTER,reg381,0x00000be8,,,,,,,
FIELD,,,reg381_f1,[31:28],4'b0,,,,
FIELD,,,reg381_f2,27,1'b0,,,,
FIELD,,,reg381_f3,[26:0],1'b1,,,,
#,,,,,,,,,
REGISTER,reg382,0x00000bf0,,,,,,,
FIELD,,,reg382_f1,[31:30],1'b1,RO,,,
FIELD,,,reg382_f2,[29:15],0,,,,
FIELD,,,reg382_f3,[14:0],0,,,,
#,,,,,,,,,
REGISTER,reg383,0x00000bf8,,,,,,,
FIELD,,,reg383_f1,[31:16],1'b1,,,,
FIELD,,,reg383_f2,[15:0],66,,,,
#,,,,,,,,,
REGISTER,reg384,0x00000c00,,,,,,,
FIELD,,,reg384_f1,[31:0],0,,,,
#,,,,,,,,,
REGISTER,reg385,0x00000c08,,,,,,,
FIELD,,,reg385_f1,31,0,,,,
FIELD,,,reg385_f2,[28:26],2,,,,
FIELD,,,reg385_f3,[25:19],83,,,,
